source,target,value
13009,16003,19
13010,11001,26
13010,13001,43
13010,13006,52
13010,13007,5264
13010,13008,116
13010,13009,1079
13010,13010,1322
13010,13013,24
13010,14001,95
13010,14003,27
13010,15001,327
13010,15002,110
13010,15007,107
13010,15008,13
13010,15011,7
13010,15013,87
13010,15014,13
13010,15015,47
13010,15017,10
13010,16003,13
13010,21012,3
13010,25022,8
13010,26004,72
13010,26017,11
13010,27011,33
13011,11001,157
13011,12003,45
13011,12004,1740
13011,13001,14
13011,13007,219
13011,13009,17
13011,13011,461
13011,13012,402
13011,13013,7
13011,14001,9
13012,11001,594
13012,12003,22
13012,12004,53
13012,13001,6
13012,13002,19
13012,13006,48
13012,13007,1448
13012,13008,70
13012,13009,27
13012,13011,45
13012,13012,90
13012,14004,7
13013,11001,3610
13013,11003,76
13013,11004,197
13013,11005,24
13013,11006,45
13013,11007,73
13013,11008,20
13013,12004,16
13013,13001,14
13013,13003,14
13013,13005,6
13013,13007,1814
13013,13009,370
13013,13010,5
13013,13013,518
13013,14001,25
13013,14003,30
13013,15002,107
13013,15007,18
13013,15015,7
13013,15020,41
13013,21010,52
13013,22008,8
13013,23016,14
13013,25017,11
13013,25022,27
13013,26017,9
13013,29032,29
14001,11001,127
14001,11004,35
14001,11006,13
14001,12004,10
14001,13001,4
14001,13003,9
14001,13007,461
14001,13008,30
14001,13009,17
14001,13010,54
14001,13013,10
14001,14001,493
14001,14002,192
14001,14003,396
14001,14004,61
14001,15002,249
14001,15007,117
14001,15014,56
14001,15015,43
14001,15018,19
14001,15020,15
14001,15021,16
14001,16003,16
14001,17002,41
14001,17005,24
14001,17006,43
14001,21005,27
14001,21007,19
14001,21008,22
14001,21009,18
14001,21018,3
14001,21019,23
14001,22001,5
14001,22002,11
14001,22005,5
14001,22009,15
14001,23001,41
14001,23011,28
14001,23013,27
14001,23016,243
14001,23017,39
14001,23021,5
14001,23022,25
14001,24001,7
14001,24002,36
14001,24011,11
14001,24012,17
14001,24018,220
14001,25002,12
14001,25004,37
14001,25017,55
14001,25022,103
14001,26005,24
14001,26009,61
14001,26017,123
14001,29005,7
14001,29012,29
14001,29017,51
14001,29021,15
14002,14001,577
14002,14003,29
14002,14004,13
14002,29013,17
14003,11004,73
14003,11006,12
14003,13001,5
14003,13008,3
14003,13010,14
14003,14001,408
14003,14002,7
14003,14003,23
14003,14004,57
14003,15002,138
14003,15013,23
14003,17001,13
14003,21002,13
14003,21012,29
14003,22007,4
14003,24011,4
14004,11003,77
14004,11004,347
14004,12004,4
14004,13007,61
14004,14001,688
14004,14002,4
14004,14003,59
14004,14004,76
14004,15002,20
14004,15018,46
14004,21009,80
14004,23020,4
15001,11001,98
15001,12004,10
15001,13006,5
15001,13007,3397
15001,13008,30
15001,13009,109
15001,13010,861
15001,14001,109
15001,14002,16
15001,14003,6
15001,14004,5
15001,15001,943
15001,15002,1870
15001,15003,18
15001,15005,26
15001,15007,952
15001,15008,14
15001,15009,49
15001,15010,35
15001,15011,13
15001,15013,12
15001,15014,51
15001,15021,19
15001,16003,70
15001,16004,14
15001,17002,40
15001,21002,11
15001,24018,18
15001,26017,13
15001,27011,15
15001,28011,3
15001,29021,22
15002,11001,862
15002,11002,11
15002,11004,9
15002,11008,20
15002,12001,49
15002,13002,8
15002,13005,6
15002,13006,82
15002,13007,7948
15002,13008,180
15002,13009,117
15002,13010,308
15002,13013,5
15002,14001,841
15002,14002,72
15002,14003,19
15002,14004,28
15002,15001,1564
15002,15002,3738
15002,15003,212
15002,15004,15
15002,15005,117
15002,15007,2409
15002,15008,241
15002,15009,60
15002,15010,217
15002,15011,43
15002,15012,20
15002,15013,79
15002,15014,4184
15002,15015,391
15002,15016,192
15002,15017,50
15002,15018,97
15002,15019,76
15002,15020,272
15002,15021,88
15002,16001,24
15002,16002,11
15002,16003,531
15002,16004,353
15002,17004,30
15002,17006,25
15002,21002,63
15002,21005,18
15002,21008,147
15002,21009,166
15002,21010,64
15002,21017,14
15002,21021,96
15002,22003,37
15002,22004,6
15002,23001,3
15002,23002,169
15002,23003,46
15002,23005,17
15002,23009,8
15002,23010,13
15002,23013,21
15002,23014,14
15002,23016,287
15002,23019,37
15002,23021,29
15002,23025,24
15002,23026,6
15002,24004,11
15002,24009,19
15002,24011,7
15002,24014,3
15002,24017,7
15002,24018,12
15002,25013,4
15002,25022,43
15002,26012,15
15002,26017,47
15002,29021,12
15002,29032,10
15003,11001,24
15003,13007,330
15003,15002,631
15003,15003,329
15003,15004,3
15003,15005,64
15003,15007,1367
15003,15008,106
15003,15009,38
15003,15010,43
15003,15011,192
15003,15012,24
15003,15013,35
15003,15014,132
15003,15015,333
15003,15017,97
15003,15020,18
15003,15022,11
15003,16003,1048
15003,16004,1224
15003,17004,21
15003,21001,25
15003,21002,60
15003,21005,150
15003,21008,83
15003,21011,6
15003,21014,72
15003,22001,62
15003,22003,7
15003,22005,5
15003,22014,8
15003,23001,7
15003,23002,8
15003,23003,15
15003,23005,20
15003,23016,14
15003,24014,5
15003,25022,9
15003,26016,82
15003,27004,53
15004,11001,12
15004,13007,37
15004,14003,5
15004,15001,127
15004,15002,1
15004,15003,121
15004,15004,175
15004,15005,1304
15004,15006,7
15004,15007,991
15004,15008,15
15004,15009,26
15004,15010,13
15004,15011,54
15004,15015,147
15004,15016,90
15004,15017,29
15004,15018,8
15004,15019,27
15004,15020,10
15004,16001,4
15004,16002,7
15004,16003,926
15004,16004,138
15004,21009,98
15004,22002,13
15004,23016,11
15004,26008,11
15005,13007,9
15005,15002,62
15005,15003,85
15005,15004,438
15005,15005,1522
15005,15006,22
15005,15007,2366
15005,15008,85
15005,15009,21
15005,15010,7
15005,15011,350
15005,15012,68
15005,15013,62
15005,15016,104
15005,15017,39
15005,15020,4
15005,16001,4
15005,16002,7
15005,16003,4571
15005,16004,300
15005,17001,9
15005,21002,21
15005,21011,6
15005,23002,16
15005,26013,20
15005,28001,15
15006,11001,25
15006,14001,77
15006,15004,52
15006,15005,153
15006,15006,635
15006,15007,3874
15006,15008,129
15006,15009,151
15006,15010,108
15006,15011,117
15006,15012,39
15006,15013,37
15006,15016,27
15006,15017,24
15006,15020,25
15006,15021,15
15006,16002,30
15006,16003,1038
15006,17001,7
15006,21002,27
15006,21005,7
15006,21006,8
15006,21007,116
15006,21008,155
15006,22001,26
15006,23015,34
15006,23027,7
15007,11001,1336
15007,11002,10
15007,11003,20
15007,11004,8
15007,11006,10
15007,11007,97
15007,12002,11
15007,12004,196
15007,12005,31
15007,13001,23
15007,13002,31
15007,13003,52
15007,13004,4
15007,13006,65
15007,13007,5984
15007,13008,38
15007,13009,48
15007,13010,328
15007,13011,47
15007,13013,23
15007,14001,712
15007,14003,9
15007,14004,3
15007,15001,467
15007,15002,1901
15007,15003,645
15007,15004,102
15007,15005,784
15007,15006,992
15007,15007,34508
15007,15008,3559
15007,15009,2958
15007,15010,3417
15007,15011,3320
15007,15012,1391
15007,15013,1653
15007,15014,480
15007,15015,439
15007,15016,951
15007,15017,940
15007,15018,210
15007,15019,604
15007,15020,894
15007,15021,456
15007,15022,392
15007,16001,200
15007,16002,85
15007,16003,3844
15007,16004,490
15007,17001,28
15007,17002,101
15007,17003,22
15007,17004,13
15007,17005,61
15007,17006,192
15007,17007,10
15007,21001,218
15007,21002,2202
15007,21003,6
15007,21004,189
15007,21005,251
15007,21007,318
15007,21008,174
15007,21009,591
15007,21010,86
15007,21011,36
15007,21013,5
15007,21014,10
15007,21015,12
15007,21017,266
15007,21019,57
15007,21020,29
15007,22001,71
15007,22002,273
15007,22003,225
15007,22004,76
15007,22005,20
15007,22006,6
15007,22008,5
15007,22009,9
15007,22013,10
15007,23001,206
15007,23002,3
15007,23003,2
15007,23004,4
15007,23005,137
15007,23007,8
15007,23009,107
15007,23010,13
15007,23011,5
15007,23012,15
15007,23013,171
15007,23015,22
