origin,destination,count
3100500,3106705,72
3100500,3108800,6
3100500,3109253,7
3100500,3118304,10
3100500,3118601,45
3100500,3119401,38
3100500,3122207,11
3100500,3124104,10
3100500,3126000,12
3100500,3127503,45
3100500,3128006,17
3100500,3128253,2
3100500,3129806,10
3100500,3131158,11
3100500,3131307,284
3100500,3133709,25
3100500,3135001,19
3100500,3136108,7
3100500,3140159,5
3100500,3141702,7
3100500,3144359,200
3100500,3149952,27
3100500,3154606,28
3100500,3158953,39
3100500,3159357,12
3100500,3161601,13
3100500,3162955,5
3100500,3165503,9
3100500,3170701,8
3100500,3171808,5
3100609,3100906,17
3100609,3101805,7
3100609,3102852,35
3100609,3104452,36
3100609,3104700,25
3100609,3106200,101
3100609,3106705,21
3100609,3108800,7
3100609,3110806,15
3100609,3112059,6
3100609,3112307,355
3100609,3112505,5
3100609,3112653,6
3100609,3116209,7
3100609,3119302,22
3100609,3121258,6
3100609,3126000,9
3100609,3126406,9
3100609,3126604,21
3100609,3126752,6
3100609,3126802,6
3100609,3126901,46
3100609,3127701,37
3100609,3128006,40
3100609,3130200,125
3100609,3131000,15
3100609,3131307,21
3100609,3132008,3
3100609,3132503,39
3100609,3133303,80
3100609,3135050,8
3100609,3135605,5
3100609,3136553,20
3100609,3137304,3
3100609,3139201,95
3100609,3140506,5
3100609,3141306,14
3100609,3143302,8
3100609,3143708,14
3100609,3145208,355
3100609,3145372,1
3100609,3145802,21
3100609,3147105,8
3100609,3149309,25
3100609,3149606,6
3100609,3149705,23
3100609,3154606,54
3100609,3158201,125
3100609,3161056,19
3100609,3161809,37
3100609,3163003,13
3100609,3163102,3
3100609,3164308,7
3100609,3164506,19
3100609,3167608,15
3100609,3171071,21
3100609,3171204,17
3100609,3171501,2
3100609,3171808,14
3100708,3170107,30
3100807,3107109,37
3100807,3111200,42
3100807,3120201,51
3100807,3138203,18
3100807,3158805,15
3100807,3164704,21
3100906,3104304,6
3100906,3106200,285
3100906,3106408,4
3100906,3106606,33
3100906,3106705,65
3100906,3114907,8
3100906,3115458,2
3100906,3117108,35
3100906,3118601,54
3100906,3120151,53
3100906,3125606,8
3100906,3125952,23
3100906,3127057,39
3100906,3127305,5
3100906,3127503,16
3100906,3131307,71
3100906,3131901,6
3100906,3132701,55
3100906,3133709,30
3100906,3136009,43
3100906,3137007,7
3100906,3138906,87
3100906,3142007,11
3100906,3143153,14
3100906,3144300,11
3100906,3145208,26
3100906,3145356,59
3100906,3146305,5
3100906,3146750,4
3100906,3147907,10
3100906,3148509,49
3100906,3151503,8
3100906,3152105,8
3100906,3153608,6
3100906,3154507,4
3100906,3154606,31
3100906,3157658,32
3100906,3158953,23
3100906,3166709,5
3100906,3168606,178
3100906,3171204,28
3101003,3102704,18
3101003,3106200,139
3101003,3106655,37
3101003,3106705,35
3101003,3118007,15
3101003,3120870,3
3101003,3122355,30
3101003,3127701,8
3101003,3135803,7
3101003,3143302,136
3101003,3143450,4
3101003,3144656,18
3101003,3148004,20
3101003,3151206,6
3101003,3157005,11
3101003,3157377,3
3101003,3168002,10
3101003,3171600,4
3101102,3106200,120
3101102,3106705,9
3101102,3107109,26
3101102,3108602,10
3101102,3115706,3
3101102,3117405,3
3101102,3118403,48
3101102,3118601,147
3101102,3120839,6
3101102,3122603,13
3101102,3125804,6
3101102,3127701,101
3101102,3129806,19
3101102,3131208,15
3101102,3131307,71
3101102,3134103,53
3101102,3136702,22
3101102,3137601,31
3101102,3139508,53
3101102,3140159,18
3101102,3140704,18
3101102,3144003,105
3101102,3145208,11
3101102,3145802,5
3101102,3151909,30
3101102,3154309,38
3101102,3154606,43
3101102,3155702,5
3101102,3157807,16
3101102,3159357,10
3101102,3159506,18
3101102,3159803,11
3101102,3161007,6
3101102,3167608,5
3101102,3167707,3
3101102,3168309,2
3101102,3168606,12
3101201,3101300,18
3101201,3101508,18
