id,rate,output_data_fixa,input_data_fixa,rate_ue,output_ue,input_ue
3145307,-4,403,399,-56,557,501
3145356,101,109,210,159,84,243
3145372,-216,295,79,-192,275,83
3145406,19,280,299,-18,409,391
3145455,39,91,130,58,103,161
3145505,-330,1776,1446,-649,2422,1773
3145604,5,118,123,-31,163,132
3145703,69,296,365,107,359,466
3145802,47,250,297,84,253,337
3145851,229,278,507,387,194,581
3145877,1625,1366,2991,1688,1460,3148
3145901,-99,868,769,47,1025,1072
3146008,-532,3676,3144,-521,4115,3594
3146107,-562,655,93,-582,717,135
3146206,-20,178,158,-20,200,180
3146255,-868,1594,726,-1034,1883,849
3146305,-132,483,351,-168,548,380
3146552,-189,598,409,-266,734,468
3146404,-126,231,105,-106,253,147
3146503,-41,122,81,-37,121,84
3146602,-261,347,86,-268,375,107
3146701,-143,313,170,-219,399,180
3146750,-366,954,588,-394,1062,668
3146909,21,2611,2632,196,2867,3063
3147105,1377,2584,3961,1915,3432,5347
3147006,-41,503,462,-99,616,517
3147204,-2,630,628,-92,765,673
3147303,420,1371,1791,489,1444,1933
3147402,56,65,121,25,105,130
3147600,-160,377,217,-98,358,260
3147709,26,492,518,-58,627,569
3147808,3,47,50,2,47,49
3147501,-467,2870,2403,-78,3158,3080
3147907,-15,198,183,-1,199,198
3147956,824,6201,7025,345,7686,8031
3148004,-1218,4182,2964,-887,4505,3618
3148103,143,110,253,177,137,314
3148202,-412,715,303,-555,941,386
3148301,-47,227,180,-109,303,194
3148400,9,520,529,35,635,670
3148509,-743,1294,551,-1162,1807,645
3148608,-1656,2020,364,-2044,2655,611
3148707,-192,284,92,-189,329,140
3148756,-361,482,121,-333,510,177
3148806,42,225,267,-13,298,285
3148905,-107,226,119,-50,187,137
3149002,-463,803,340,-677,1048,371
3149101,-39,340,301,30,327,357
3149150,18,274,292,-1,307,306
3149200,523,2385,2908,788,2589,3377
3149309,-47,147,100,-100,207,107
3149408,100,102,202,63,144,207
3149507,74,303,377,116,310,426
3149606,1026,209,1235,968,291,1259
3149705,520,805,1325,544,969,1513
3149804,-73,863,790,109,891,1000
3149903,-163,531,368,-61,502,441
3149952,-20,240,220,-157,399,242
3150000,98,89,187,14,178,192
3150109,543,259,802,691,297,988
3150158,17,181,198,-44,251,207
3150208,-136,253,117,-124,292,168
3150307,44,291,335,-25,391,366
3150406,99,311,410,75,381,456
3150505,15,308,323,200,307,507
3150539,-81,191,110,-91,262,171
3150570,-169,351,182,-217,429,212
3150604,165,180,345,289,241,530
3150703,-622,1020,398,-814,1256,442
3150802,95,137,232,107,158,265
3150901,197,399,596,248,418,666
3151008,7,243,250,93,249,342
3151107,-1379,4270,2891,-1835,5352,3517
3151206,-167,567,400,-66,471,405
3151305,-357,1213,856,-251,1477,1226
3151404,-453,1729,1276,-121,1940,1819
3151503,199,333,532,258,348,606
3151602,-61,445,384,-6,484,478
3151701,1268,3296,4564,2045,3629,5674
3151800,-101,552,451,-237,731,494
3151909,-239,1182,943,17,1331,1348
3152006,-1739,4311,2572,-2244,5124,2880
3152105,-19,248,229,36,264,300
3152131,264,231,495,257,261,518
3152170,-1207,2017,810,-1769,2685,916
3152204,28,395,423,-132,584,452
3152303,-230,949,719,-262,1152,890
3152402,3490,3717,7207,3750,4427,8177
3152501,-197,423,226,-125,415,290
3152600,-33,303,270,-69,369,300
3152709,-86,1423,1337,-238,1640,1402
3152808,-224,485,261,-277,560,283
3152907,-89,209,120,-122,245,123
3153004,-254,439,185,-239,452,213
3153103,-262,390,128,-268,468,200
3153202,-17,82,65,-1,93,92
3153301,-113,1071,958,-98,1190,1092
3153400,12,554,566,-18,730,712
3153608,584,281,865,573,373,946
3153707,-248,388,140,-86,425,339
3153806,93,72,165,69,119,188
3153905,-180,483,303,-118,593,475
3154002,-1075,1969,894,-1229,2404,1175
3154101,9,191,200,52,260,312
3154150,226,443,669,344,469,813
3154200,249,336,585,170,504,674
3154309,-128,770,642,-246,1035,789
3154408,-75,308,233,-34,317,283
3154457,-231,544,313,-139,515,376
3154507,-489,710,221,-504,751,247
3154606,27689,7372,35061,31695,7474,39169
3154705,110,119,229,132,142,274
3154804,664,110,774,479,278,757
3154903,-693,1191,498,-1219,1823,604
3155108,-126,301,175,-127,315,188
3155009,-27,282,255,-87,356,269
3155207,-346,501,155,-408,572,164
3155306,257,283,540,182,387,569
3155405,-259,566,307,-371,742,371
3155504,619,585,1204,637,695,1332
3155603,-564,953,389,-572,1109,537
3155702,-183,1110,927,-476,1471,995
3155801,148,846,994,96,984,1080
3155900,-173,230,57,-115,207,92
3156007,-477,622,145,-713,873,160
3156106,-106,331,225,-150,385,235
3156205,30,93,123,41,99,140
3156304,594,282,876,599,290,889
3156403,172,246,418,210,235,445
3156452,204,207,411,194,192,386
3156502,-551,698,147,-591,791,200
3156601,-579,980,401,-779,1261,482
3156700,5785,3822,9607,6389,4348,10737
3156809,-724,1186,462,-804,1343,539
3156908,-117,1134,1017,-553,1510,957
3157005,-415,2150,1735,-424,2608,2184
3157104,-233,474,241,-209,488,279
3157203,-473,1712,1239,-743,2174,1431
3157252,-68,683,615,-32,780,748
3157278,3,173,176,-94,284,190
3157302,-38,154,116,-20,150,130
3157336,600,141,741,649,131,780
3157377,-117,193,76,-69,162,93
3157401,-89,246,157,-133,372,239
3157500,-234,370,136,-303,464,161
3157609,44,215,259,39,266,305
3157658,-319,454,135,-419,563,144
3157708,95,551,646,-164,849,685
3157807,6351,7388,13739,7631,7359,14990
3157906,-115,629,514,-277,838,561
3158003,-360,763,403,-316,743,427
3158102,-220,398,178,-204,433,229
3158201,-1169,1806,637,-1242,2064,822
3159209,-143,664,521,38,620,658
3159407,-3,192,189,-22,219,197
