iata,city,state,latitude,longitude,cod_meso,meso,cod_micro,micro,saldo_data_fixa,output_data_fixa,input_data_fixa,rate_ue,output_ue,input_ue
3170750,Varjão de Minas,MG,-18.377777,-46.031666,3101,Noroeste de Minas,31002,Paracatu,-633,2277,1644,-837,2817,1980
3170800,Várzea da Palma,MG,-17.598057,-44.730835,3102,Norte de Minas,31006,Pirapora,-616,1031,415,-847,1320,473
3170909,Varzelândia,MG,-15.701388,-44.0275,3102,Norte de Minas,31007,Montes Claros,-767,1586,819,-669,1709,1040
3171006,Vazante,MG,-17.986944,-46.90778,3101,Noroeste de Minas,31002,Paracatu,22,379,401,129,385,514
3171030,Verdelândia,MG,-15.589167,-43.602776,3102,Norte de Minas,31007,Montes Claros,-98,272,174,-145,329,184
3171071,Veredinha,MG,-17.399445,-42.735558,3103,Jequitinhonha,31011,Capelinha,187,312,499,123,388,511
3171105,Veríssimo,MG,-19.663334,-48.308334,3105,Triângulo Mineiro/Alto Paranaíba,31022,Uberaba,-89,321,232,-156,415,259
3171154,Vermelho Novo,MG,-20.03611,-42.266945,3112,Zona da Mata,31060,Ponte Nova,7338,3879,11217,8091,4084,12175
3171204,Vespasiano,MG,-19.691944,-43.923336,3107,Metropolitana de Belo Horizonte,31030,Belo Horizonte,250,4473,4723,642,4345,4987
3171303,Viçosa,MG,-20.753889,-42.881943,3112,Zona da Mata,31062,Viçosa,8,182,190,-46,232,186
3171402,Vieiras,MG,-20.865833,-42.24361,3112,Zona da Mata,31063,Muriaé,-84,200,116,-87,232,145
3171600,Virgem da Lapa,MG,-16.804443,-42.343056,3103,Jequitinhonha,31012,Araçuaí,-49,480,431,-149,621,472
3171709,Virgínia,MG,-22.333334,-45.091667,3110,Sul/Sudoeste de Minas,31056,Itajubá,-92,296,204,-66,337,271
3171808,Virginópolis,MG,-18.822779,-42.703888,3108,Vale do Rio Doce,31035,Guanhães,-172,708,536,-175,889,714
3171907,Virgolândia,MG,-18.475834,-42.306667,3108,Vale do Rio Doce,31037,Governador Valadares,-205,542,337,-175,619,444
3172004,Visconde do Rio Branco,MG,-21.010279,-42.840553,3112,Zona da Mata,31064,Ubá,701,1052,1753,708,1422,2130
3172103,Volta Grande,MG,-21.770555,-42.538887,3112,Zona da Mata,31066,Cataguases,-88,266,178,-115,306,191
3172202,Wenceslau Braz,MG,-22.534445,-45.362778,3110,Sul/Sudoeste de Minas,31056,Itajubá,97,64,161,61,117,178
