lot,lat,output,iata,city,
-44.301666,-20.070278,1405,3130101,Igarapé,
-44.709167,-19.955278,338,3130200,Igaratinga,
-45.711391,-20.174444,624,3130309,Iguatama,
-44.925278,-21.17,168,3130408,Ijaci,
-45.832775,-20.935833,197,3130507,Ilicínea,
-41.970554,-19.597223,697,3130556,Imbé de Minas,
-46.327778,-22.316946,360,3130606,Inconfidentes,
-42.197224,-15.491667,238,3130655,Indaiabira,
-47.916946,-19.03861,811,3130705,Indianópolis,
-44.917225,-21.401112,131,3130804,Ingaí,
-42.119999,-19.549166,2299,3130903,Inhapim,
-44.389725,-19.491112,466,3131000,Inhaúma,
-44.360554,-18.729168,323,3131109,Inimutaba,
-42.419445,-19.41361,536,3131158,Ipaba,
-41.713055,-19.800833,1143,3131208,Ipanema,
-42.536667,-19.468334,15750,3131307,Ipatinga,
-49.94278,-18.692221,244,3131406,Ipiaçu,
-46.189724,-22.09889,410,3131505,Ipuiúna,
-47.461391,-18.983889,463,3131604,Iraí de Minas,
-43.226944,-19.619167,4504,3131703,Itabira,
-41.233055,-18.566387,390,3131802,Itabirinha,
-43.801388,-20.253334,1809,3131901,Itabirito,
-43.308887,-17.064722,422,3132008,Itacambira,
-44.091942,-15.102222,699,3132107,Itacarambi,
-44.487499,-20.392221,730,3132206,Itaguara,
-41.668613,-17.401943,698,3132305,Itaipé,
-45.452778,-22.425554,3183,3132404,Itajubá,
-42.858887,-17.857224,1351,3132503,Itamarandiba,
-42.817776,-21.415833,353,3132602,Itamarati de Minas,
-41.685001,-18.031111,1948,3132701,Itambacuri,
-43.32111,-19.414444,124,3132800,Itambé do Mato Dentro,
-47.048332,-21.078056,330,3132909,Itamogi,
-44.869999,-22.283888,498,3133006,Itamonte,
-44.934723,-22.295834,365,3133105,Itanhandu,
-41.865276,-19.171944,1068,3133204,Itanhomi,
-41.503334,-16.561666,1248,3133303,Itaobim,
-49.381386,-19.908611,417,3133402,Itapagipe,
-45.125553,-20.4725,1238,3133501,Itapecerica,
-46.220833,-22.768055,334,3133600,Itapeva,
-44.421112,-20.196667,446,3133709,Itatiaiuçu,
-46.752224,-20.739445,440,3133758,Itaú de Minas,
-44.576389,-20.075279,2198,3133808,Itaúna,
-43.609997,-20.678055,599,3133907,Itaverava,
-41.765278,-16.613056,680,3134004,Itinga,
-41.17028,-19.394167,231,3134103,Itueta,
-49.465,-18.968889,4632,3134202,Ituiutaba,
-44.871109,-21.316946,202,3134301,Itumirim,
-50.195557,-19.728056,1700,3134400,Iturama,
-44.65778,-21.298056,399,3134509,Itutinga,
-43.744999,-19.513611,840,3134608,Jaboticatubas,
-40.293331,-16.144444,882,3134707,Jacinto,
-46.741112,-21.016666,715,3134806,Jacuí,
-46.612221,-22.285555,284,3134905,Jacutinga,
-42.749722,-19.649166,162,3135001,Jaguaraçu,
-43.674446,-15.338333,1983,3135050,Jaíba,
-41.803886,-18.462778,303,3135076,Jampruca,
-43.308887,-15.8025,4355,3135100,Janaúba,
-44.361942,-15.488056,3630,3135209,Januária,
-45.503334,-20.141388,106,3135308,Japaraíba,
-44.27,-15.994722,480,3135357,Japonvar,
-43.983334,-20.535276,421,3135407,Jeceaba,
-42.258335,-17.082779,141,3135456,Jenipapo de Minas,
-42.665836,-20.455833,670,3135506,Jequeri,
-44.445557,-17.235556,625,3135605,Jequitaí,
-44.027779,-19.235556,506,3135704,Jequitibá,
-41.003334,-16.433887,2115,3135803,Jequitinhonha,
-45.291111,-21.997778,145,3135902,Jesuânia,
-41.030556,-16.654167,1368,3136009,Joaíma,
-42.678612,-19.172222,463,3136108,Joanésia,
-43.173611,-19.809999,3763,3136207,João Monlevade,
-46.172501,-17.7425,2272,3136306,João Pinheiro,
-44.172222,-17.7575,401,3136405,Joaquim Felício,
-40.178059,-15.900277,672,3136504,Jordânia,
-42.603611,-16.906944,270,3136520,José Gonçalves de Minas,
-42.498611,-18.219444,88,3136553,José Raydan,
-42.515278,-16.547222,153,3136579,Josenópolis,
-44.342777,-19.951944,265,3136652,Juatuba,
-43.350277,-21.764166,1038,3136702,Juiz de Fora,
-43.586945,-16.848057,11176,3136801,Juramento,
-46.576942,-21.252777,186,3136900,Juruaia,
-44.160278,-14.2625,293,3136959,Juvenília,
-41.737499,-17.632223,122,3137007,Ladainha,
-46.807499,-18.178333,648,3137106,Lagamar,
-45.54361,-20.022499,765,3137205,Lagoa da Prata,
-44.582222,-16.983334,1055,3137304,Lagoa dos Patos,
-44.078331,-20.914444,492,3137403,Lagoa Dourada,
-46.407501,-18.77861,385,3137502,Lagoa Formosa,
-46.514446,-17.835278,1115,3137536,Lagoa Grande,
-43.889725,-19.627222,502,3137601,Lagoa Santa,
-41.622776,-20.151388,1670,3137700,Lajinha,
-45.350277,-21.975555,1082,3137809,Lambari,
-43.474167,-20.790277,675,3137908,Lamim,
-42.476944,-21.374445,400,3138005,Laranjal,
-44.577499,-17.886667,392,3138104,Lassance,
-44.999722,-21.245277,500,3138203,Lavras,
-45.025002,-19.718056,3625,3138302,Leandro Ferreira,
-42.692501,-17.083334,191,3138351,Leme do Prado,
-42.643059,-21.531944,312,3138401,Leopoldina,
-44.319721,-22.028889,1780,3138500,Liberdade,
-43.793056,-21.842501,124,3138609,Lima Duarte,
-50.580555,-19.551111,663,3138625,Limeira do Oeste,
-44.305,-15.903333,340,3138658,Lontra,
-42.102776,-20.439722,428,3138674,Luisburgo,
-44.588612,-16.1175,264,3138682,Luislândia,
-44.903336,-21.51111,351,3138708,Luminárias,
-45.685558,-19.801388,285,3138807,Luz,
-40.716389,-17.077223,1026,3138906,Machacalis,
