origin,destination,count
3103207,3118908,13
3103207,3139706,3
3103207,3147402,4
3103207,3109600,3
3103207,3121803,5
3103207,3126406,3
3103207,3131000,8
3103207,3147402,6
3103207,3158508,4
3103207,3167202,29
3103306,3146602,2
3103306,3151305,4
3103405,3105905,1
3103405,3106200,17
3103405,3135456,3
3103405,3136702,19
3103405,3145372,3
3103405,3154309,6
3103405,3157104,9
3103405,3159803,5
3103405,3164001,12
3103405,3171204,9
3103405,3104502,5
3103405,3106200,56
3103405,3113008,16
3103405,3115300,13
3103405,3126505,17
3103405,3127107,10
3103405,3129905,10
3103405,3134608,18
3103405,3135704,5
3103405,3138682,3
3103405,3141108,12
3103405,3144300,8
3103405,3146305,5
3103405,3154804,11
3103405,3162922,12
3103405,3171600,7
3103504,3103751,3
3103504,3106200,18
3103504,3109808,2
3103504,3115003,23
3103504,3116209,5
3103504,3118304,9
3103504,3124807,42
3103504,3130101,7
3103504,3130705,9
3103504,3156403,4
3103504,3166808,5
3103504,3170206,49
3103504,3104007,9
3103504,3115003,8
3103504,3124807,6
3103504,3130705,11
3103504,3134202,42
3103504,3143104,22
3103504,3143302,21
3103504,3147006,11
3103504,3148103,12
3103504,3159803,4
3103504,3170107,66
3103504,3170206,22
3103603,3166402,3
3103702,3111705,7
3103702,3163805,17
3103702,3111705,5
3103702,3135506,4
3103702,3136207,7
3103702,3164431,13
3103702,3168507,11
3103702,3171303,30
3103751,3111804,3
3103751,3115003,4
3103751,3136207,7
3103751,3134202,57
3103801,3121258,8
3103801,3141207,9
3103801,3168903,9
3103801,3118601,17
3103801,3168903,3
3103900,3102050,6
3103900,3138807,5
3103900,3149705,4
3103900,3160405,15
3103900,3142403,2
3103900,3148905,5
3103900,3149705,9
3103900,3155306,3
3103900,3161809,5
3103900,3169703,27
3104007,3102209,2
3104007,3106200,87
3104007,3107406,18
3104007,3111507,4
3104007,3118205,3
3104007,3119807,7
3104007,3124708,7
3104007,3125408,2
3104007,3126604,2
3104007,3128600,3
3104007,3131109,4
3104007,3133402,15
3104007,3136702,4
3104007,3137205,11
3104007,3137502,10
3104007,3138807,19
3104007,3146404,3
3104007,3148004,57
3104007,3148103,31
3104007,3149804,19
3104007,3152105,24
3104007,3153004,4
3104007,3157708,4
3104007,3158953,26
3104007,3159704,2
3104007,3161700,5
3104007,3162104,9
3104007,3168101,8
3104007,3168606,30
3104007,3170107,20
3104007,3170438,3
3104007,3171105,4
3104007,3106200,51
3104007,3111507,5
3104007,3119807,3
3104007,3120201,5
3104007,3129509,109
3104007,3133808,12
3104007,3138807,5
3104007,3145000,7
3104007,3147006,58
3104007,3148103,17
3104007,3149804,46
3104007,3153202,3
3104007,3156908,12
3104007,3166808,26
3104007,3170107,39
3104106,3134905,11
3104106,3159605,12
3104205,3106200,47
3104205,3111200,20
3104205,3119104,11
3104205,3119955,9
3104205,3120201,10
3104205,3122306,9
3104205,3122470,7
3104205,3122504,8
3104205,3130309,13
3104205,3137205,15
3104205,3138807,7
3104205,3146503,9
3104205,3150505,5
3104205,3161700,3
3104205,3162005,7
3104205,3100104,2
3104205,3107406,9
3104205,3115102,5
3104205,3118601,19
3104205,3126109,12
3104205,3130309,16
3104205,3131307,23
3104205,3138807,5
3104205,3146503,17
3104205,3148004,14
3104205,3148905,6
3104205,3164605,3
3104205,3168101,5
3104205,3169356,10
3104304,3100906,3
3104304,3151404,32
3104304,3170701,8
3104304,3102001,5
3104304,3119302,10
3104304,3134905,11
3104304,3139003,10
3104304,3143005,2
3104304,3151800,32
3104403,3140209,3
3104403,3165602,10
3104403,3124005,6
3104403,3138401,11
3104452,3112307,28
3104452,3132503,14
3104452,3141801,10
3104452,3112307,11
3104502,3108552,5
3104502,3108602,19
3104502,3109303,19
3104502,3109451,2
3104502,3122470,5
3104502,3143302,13
3104502,3146255,2
3104502,3147006,13
3104502,3148004,18
3104502,3149150,4
3104502,3154457,6
3104502,3154606,7
3104502,3161700,2
3104502,3170404,19
3104502,3170529,16
3104502,3171600,7
3104502,3108206,3
3104502,3109303,32
3104502,3114303,14
3104502,3122470,21
3104502,3126307,6
3104502,3129608,3
3104502,3144375,3
3104502,3152006,16
3104502,3154457,10
3104502,3170404,22
3104502,3170529,4
3104601,3122900,6
3104601,3128402,11
3104601,3138005,8
3104601,3146602,1
3104601,3151305,20
3104601,3165701,6
3104601,3115300,10
3104601,3121308,3
3104601,3122900,6
3104601,3128808,7
3104601,3141603,9
3104601,3143906,12
3104601,3146602,1
3104601,3156304,6
3104601,3169901,31
3104700,3122108,4
3104700,3127701,15
3104700,3131802,12
3104700,3168606,53
3104700,3102050,6
3104700,3124104,8
3104700,3127701,9
3104700,3139607,12
3104700,3143708,3
3104700,3146206,4
3104700,3150000,13
3104700,3157807,24
3104700,3163300,2
3104700,3168606,50
3104809,3107307,53
3104809,3127602,6
3104809,3135605,4
3104809,3136405,20
3104809,3143609,28
3104809,3145208,12
3104809,3147105,9
3104809,3154606,20
3104809,3157807,12
3104809,3169356,29
3104809,3109907,5
3104809,3120904,11
3104809,3138104,3
3104809,3160603,2
3104908,3101201,5
3104908,3109709,5
3104908,3115508,14
3104908,3117702,20
3104908,3129400,3
3104908,3149101,4
3104908,3152501,9
3104908,3167806,8
3104908,3107901,5
3104908,3120805,9
3105004,3103207,4
3105004,3112505,21
3105004,3121605,7
3105004,3129806,12
3105004,3135704,13
3105004,3150802,5
3105004,3118601,43
3105004,3154606,7
3105004,3159001,3
3105004,3167202,88
3105004,3171204,14
3105103,3100203,9
3105103,3103504,10
3105103,3111903,3
3105103,3119807,21
3105103,3130309,3
3105103,3134202,9
3105103,3138807,24
3105103,3145604,20
3105103,3148103,8
3105103,3150604,11
3105103,3159704,11
3105103,3159902,6
3105103,3165008,5
3105103,3168200,6
3105103,3106200,34
3105103,3106705,11
3105103,3111507,6
3105103,3112802,3
3105103,3115607,2
3105103,3119807,10
3105103,3128303,5
3105103,3129103,3
3105103,3130309,10
3105103,3148103,62
3105103,3148905,2
3105103,3154606,9
3105202,3154606,8
3105202,3101706,16
3105202,3134707,5
3105202,3136504,8
3105301,3108404,6
3105301,3143807,10
3105301,3144409,17
3105301,3170701,11
3105301,3110301,5
3105301,3166907,6
3105400,3100203,29
3105400,3102605,9
3105400,3109006,10
3105400,3119401,29
3105400,3131158,5
3105400,3131703,9
3105400,3140001,21
3105400,3143302,21
3105400,3151404,40
3105400,3155009,3
3105400,3157203,53
3105400,3157807,14
3105400,3171204,8
3105400,3100302,15
3105400,3106200,24
3105400,3107703,3
3105400,3110004,18
3105400,3115359,9
3105400,3118601,52
3105400,3129806,11
3105400,3135506,3
3105400,3136207,24
3105400,3136652,9
3105400,3140001,25
3105400,3146107,7
3105400,3154606,33
3105400,3157203,48
3105400,3161205,3
3105400,3161908,6
3105400,3164803,2
3105400,3168051,3
3105509,3149002,2
3105509,3156452,3
3105608,3101631,9
3105608,3102902,43
3105608,3105905,23
3105608,3106200,115
3105608,3112208,4
3105608,3116308,3
3105608,3118007,11
3105608,3118304,19
3105608,3121506,6
3105608,3123528,3
3105608,3129400,3
3105608,3130903,9
3105608,3132404,7
3105608,3136702,216
3105608,3138005,3
3105608,3138203,23
3105608,3138609,26
3105608,3139102,8
3105608,3143302,9
3105608,3145703,2
3105608,3145901,33
3105608,3146107,7
3105608,3155801,5
3105608,3157278,4
3105608,3157302,11
3105608,3159308,3
3105608,3159407,7
3105608,3160405,17
3105608,3161007,5
3105608,3162575,6
3105608,3166006,11
3105608,3168804,2
3105608,3171303,47
3105608,3102902,10
3105608,3104700,16
3105608,3105905,8
3105608,3106804,4
3105608,3113206,20
3105608,3115607,2
3105608,3118304,11
3105608,3118601,62
3105608,3120904,11
3105608,3123007,12
3105608,3123304,3
3105608,3128006,12
3105608,3129400,10
3105608,3129806,8
3105608,3136702,155
3105608,3138609,5
3105608,3143906,14
3105608,3144805,13
3105608,3145901,10
3105608,3146107,11
3105608,3150109,3
3105608,3154200,5
3105608,3154408,4
3105608,3155801,5
3105608,3156106,7
3105608,3157278,1
3105608,3157336,13
3105608,3159100,4
3105608,3160702,18
3105608,3166204,25
3105608,3168804,3
3105608,3171303,11
3105707,3102308,11
3105707,3106705,3
3105707,3115359,6
3105707,3118007,15
3105707,3155009,3
3105707,3122702,9
3105707,3136207,11
3105707,3139508,18
3105905,3105608,11
3105905,3118601,42
3105905,3123007,7
3105905,3129400,11
3105905,3130408,3
3105905,3145703,2
3105905,3147600,5
3105905,3162500,15
3105905,3168804,3
3105905,3105608,7
3105905,3152709,7
3105905,3168804,5
3106002,3119401,1
3106002,3131158,5
3106002,3136207,37
3106002,3163409,4
3106002,3106309,9
3106002,3106705,9
3106002,3116001,4
3106002,3125507,2
3106002,3167202,50
3106101,3106705,9
3106101,3123304,3
3106101,3144805,12
3106101,3146602,1
3106101,3167509,10
3106200,3100203,40
3106200,3100302,19
3106200,3100401,4
3106200,3100609,19
3106200,3100906,21
3106200,3101003,6
3106200,3101102,37
3106200,3101607,32
3106200,3101706,12
3106200,3101805,15
3106200,3102001,7
3106200,3102050,3
3106200,3102209,4
3106200,3102308,4
3106200,3102506,3
3106200,3102902,10
3106200,3103009,11
3106200,3103405,21
3106200,3103900,3
3106200,3104007,11
3106200,3104205,13
3106200,3104304,5
3106200,3104809,8
3106200,3105004,4
3106200,3105301,3
3106200,3105400,13
3106200,3105608,103
3106200,3106002,21
3106200,3106408,9
3106200,3106606,2
3106200,3106705,758
3106200,3107307,9
3106200,3107406,28
3106200,3107703,10
3106200,3107802,29
3106200,3108107,17
3106200,3108206,2
3106200,3108701,8
3106200,3109006,39
3106200,3109204,7
3106200,3109501,5
3106200,3109907,23
3106200,3110004,41
3106200,3110608,35
3106200,3111101,6
3106200,3111200,20
3106200,3111309,5
3106200,3111507,4
3106200,3111903,3
3106200,3112059,24
3106200,3112505,8
3106200,3112604,4
3106200,3112653,3
3106200,3112703,4
3106200,3112802,3
3106200,3112901,7
3106200,3113206,10
3106200,3113404,71
3106200,3113503,15
3106200,3113602,4
3106200,3113800,2
3106200,3114006,5
3106200,3114303,7
3106200,3114402,8
3106200,3114501,32
3106200,3114600,2
3106200,3114907,7
3106200,3115300,7
3106200,3115359,12
3106200,3115508,12
3106200,3116159,3
3106200,3116605,11
3106200,3116803,12
3106200,3117504,15
3106200,3117603,3
3106200,3117876,6
3106200,3118007,99
3106200,3118106,3
3106200,3118304,88
3106200,3118601,2287
3106200,3118908,9
3106200,3119104,32
3106200,3119401,32
3106200,3120003,6
3106200,3120151,4
3106200,3120201,4
3106200,3120300,3
3106200,3120607,6
3106200,3120839,13
3106200,3120904,54
3106200,3121001,3
3106200,3121258,3
3106200,3121407,6
3106200,3121605,37
3106200,3121803,5
3106200,3122207,15
3106200,3122306,265
3106200,3122355,12
3106200,3122454,11
3106200,3122702,12
3106200,3123007,12
3106200,3123205,30
3106200,3123304,4
3106200,3123908,20
3106200,3124104,531
3106200,3125408,13
3106200,3125507,10
3106200,3125705,20
3106200,3125903,16
3106200,3126000,16
3106200,3126109,33
3106200,3126505,4
3106200,3126604,6
3106200,3126703,28
3106200,3126901,5
3106200,3127073,3
3106200,3127339,3
3106200,3127354,4
3106200,3127503,2
3106200,3127602,4
3106200,3127701,121
3106200,3128006,137
3106200,3128253,4
3106200,3129103,7
3106200,3129202,3
3106200,3129301,11
3106200,3129608,3
3106200,3129707,6
3106200,3129806,652
3106200,3130101,194
3106200,3130309,15
3106200,3130507,13
3106200,3131000,3
3106200,3131109,3
3106200,3131158,10
3106200,3131208,18
3106200,3131307,250
3106200,3131703,91
3106200,3131901,44
3106200,3132206,31
3106200,3132305,13
3106200,3132404,20
3106200,3132701,12
3106200,3132800,2
3106200,3133204,11
3106200,3133303,11
3106200,3133709,42
3106200,3133808,44
3106200,3133907,3
3106200,3134202,11
3106200,3134301,14
3106200,3134608,78
3106200,3134707,6
3106200,3135001,3
3106200,3135050,18
3106200,3135076,4
3106200,3135308,4
3106200,3135407,3
3106200,3135506,4
3106200,3135704,13
3106200,3135803,25
3106200,3136009,5
3106200,3136207,163
3106200,3136306,24
3106200,3136603,19
3106200,3136652,197
3106200,3136702,163
3106200,3137007,5
3106200,3137205,83
3106200,3137601,189
3106200,3137700,7
3106200,3137809,6
3106200,3137908,9
3106200,3138005,2
3106200,3138104,3
3106200,3138203,137
3106200,3138401,9
3106200,3138609,15
3106200,3138658,14
3106200,3138674,3
3106200,3138682,3
3106200,3138807,9
3106200,3138906,10
3106200,3139003,30
3106200,3139201,5
3106200,3139250,3
3106200,3139409,72
3106200,3140001,31
3106200,3140100,3
3106200,3140159,80
3106200,3140308,9
3106200,3140506,11
3106200,3140530,14
3106200,3140605,8
3106200,3140704,88
3106200,3140803,13
3106200,3140852,14
3106200,3140902,6
3106200,3141108,55
3106200,3141504,6
3106200,3141702,3
3106200,3141801,8
3106200,3142007,15
3106200,3142106,8
3106200,3142304,15
3106200,3142403,16
3106200,3142502,4
3106200,3142601,26
3106200,3142908,14
3106200,3143302,218
3106200,3143906,32
3106200,3144300,30
3106200,3144706,12
3106200,3144805,139
3106200,3144904,2
3106200,3145208,229
3106200,3145356,10
3106200,3145372,3
3106200,3145455,2
3106200,3145604,22
3106200,3145802,8
3106200,3145851,7
3106200,3145877,3
3106200,3145901,58
3106200,3146107,49
3106200,3146206,4
3106200,3146255,3
3106200,3146305,5
3106200,3146404,3
3106200,3146909,5
3106200,3147006,8
3106200,3147105,48
3106200,3147402,6
3106200,3148004,112
3106200,3148400,1
3106200,3148707,10
3106200,3149309,83
3106200,3149606,20
3106200,3149903,9
3106200,3149952,13
3106200,3150406,3
3106200,3150604,2
3106200,3151206,15
3106200,3151404,26
3106200,3151503,11
3106200,3151602,21
3106200,3151701,7
3106200,3152006,52
3106200,3152105,40
3106200,3152204,12
3106200,3152402,4
3106200,3152709,7
3106200,3153103,4
3106200,3153202,6
3106200,3153400,17
3106200,3153608,6
3106200,3153905,13
3106200,3154002,14
3106200,3154150,16
3106200,3154200,13
3106200,3154309,13
3106200,3154408,4
3106200,3154507,4
3106200,3154606,1808
3106200,3154705,3
3106200,3154804,37
3106200,3154903,35
3106200,3155108,11
3106200,3155306,7
3106200,3155504,6
3106200,3155702,6
3106200,3155801,35
3106200,3156007,5
3106200,3156502,4
3106200,3156700,452
3106200,3156809,19
3106200,3157005,14
3106200,3157104,10
3106200,3157203,36
3106200,3157252,14
3106200,3157401,4
3106200,3157609,3
3106200,3157807,473
3106200,3158003,5
3106200,3158102,20
3106200,3158201,14
3106200,3158300,3
3106200,3158953,31
3106200,3159001,3
3106200,3159100,2
3106200,3159704,4
3106200,3160108,2
3106200,3160306,5
3106200,3160405,9
3106200,3160702,9
3106200,3160959,3
3106200,3161007,14
3106200,3161106,8
3106200,3161601,6
3106200,3161700,4
3106200,3161809,5
3106200,3161908,17
3106200,3162203,3
3106200,3162500,36
3106200,3162807,9
3106200,3162922,313
3106200,3162955,82
3106200,3163102,10
3106200,3163706,22
3106200,3163904,3
3106200,3164001,15
3106200,3164100,10
3106200,3164472,7
3106200,3164704,11
3106200,3164803,4
3106200,3164902,3
3106200,3165537,261
3106200,3165552,8
3106200,3165800,2
3106200,3165909,3
3106200,3166303,8
3106200,3167103,15
3106200,3167202,220
3106200,3167608,11
3106200,3168309,39
3106200,3168408,31
3106200,3168606,97
3106200,3168705,23
3106200,3168903,5
3106200,3169000,15
3106200,3169059,4
3106200,3169307,46
3106200,3169356,66
3106200,3169505,3
3106200,3169604,23
3106200,3169703,10
3106200,3169802,1
3106200,3170008,6
3106200,3170057,5
3106200,3170107,25
3106200,3170206,141
3106200,3170503,36
3106200,3170578,7
3106200,3170701,47
3106200,3170750,3
3106200,3170800,39
3106200,3170909,6
3106200,3171006,8
3106200,3171105,4
3106200,3171204,702
3106200,3171303,78
3106200,3171501,8
3106200,3171808,6
3106200,3171907,6
3106200,3100203,18
3106200,3100302,15
3106200,3100401,4
3106200,3100609,9
3106200,3100906,25
3106200,3101003,5
3106200,3101607,19
3106200,3101706,93
3106200,3101904,4
3106200,3102001,17
3106200,3102100,17
3106200,3102209,6
3106200,3102407,3
3106200,3102704,4
3106200,3102852,4
3106200,3102902,5
3106200,3103009,8
3106200,3103207,3
3106200,3103405,9
3106200,3103900,9
3106200,3104007,14
3106200,3104205,79
3106200,3104700,5
3106200,3104809,2
3106200,3105004,8
3106200,3105103,9
3106200,3105202,4
3106200,3105400,36
3106200,3105608,174
