origin,destination,count
3100906,3120151,36
3100906,3121605,55
3100906,3125606,14
3100906,3125952,23
3100906,3127057,40
3100906,3127305,9
3100906,3127503,3
3100906,3131307,60
3100906,3131901,6
3100906,3132701,55
3100906,3133709,30
3100906,3133758,5
3100906,3136009,27
3100906,3138906,78
3100906,3143153,12
3100906,3145307,37
3100906,3145356,52
3100906,3146750,4
3100906,3148509,44
3100906,3151503,8
3100906,3152105,8
3100906,3153608,6
3100906,3154606,23
3100906,3157658,32
3100906,3166709,15
3100906,3168606,170
3100906,3171204,28
3101003,3102704,18
3101003,3106200,130
3101003,3106655,9
3101003,3106705,12
3101003,3118007,23
3101003,3120870,3
3101003,3122355,30
3101003,3127701,8
3101003,3135803,7
3101003,3143302,114
3101003,3144656,10
3101003,3145802,12
3101003,3148004,20
3101003,3151206,6
3101003,3157005,21
3101003,3157377,3
3101003,3168002,19
3101003,3170107,11
3101102,3106200,78
3101102,3106705,17
3101102,3107109,26
3101102,3117405,3
3101102,3118403,34
3101102,3118601,106
3101102,3120839,6
3101102,3122603,13
3101102,3125804,6
3101102,3127701,113
3101102,3129806,19
3101102,3131208,20
3101102,3131307,37
3101102,3134103,31
3101102,3139508,53
3101102,3140159,18
3101102,3144003,83
3101102,3145208,11
3101102,3145356,27
3101102,3151909,30
3101102,3154309,29
3101102,3154606,96
3101102,3155702,5
3101102,3156700,37
3101102,3157807,16
3101102,3159357,10
3101102,3159506,12
3101102,3159803,5
3101102,3161908,7
3101102,3168309,2
3101201,3101300,12
3101201,3101508,18
3101201,3103603,11
3101201,3104908,62
3101201,3106903,6
3101201,3107505,3
3101201,3114105,11
3101201,3114808,19
3101201,3117009,4
3101201,3120805,48
3101201,3134509,7
3101201,3136702,78
3101201,3138500,19
3101201,3138609,14
3101201,3141900,5
3101201,3152501,10
3101201,3162252,5
3101201,3165206,8
3101201,3166402,8
3101201,3167004,22
3101201,3169307,21
3101201,3170701,31
3101300,3101201,7
3101300,3133006,139
3101300,3141603,6
3101300,3147006,9
3101409,3134905,10
3101409,3144409,3
3101409,3165800,3
3101409,3169059,7
3101508,3104403,3
3101508,3106200,136
3101508,3113305,22
3101508,3115706,11
3101508,3116209,6
3101508,3124609,14
3101508,3136702,345
3101508,3138401,35
3101508,3139805,45
3101508,3142205,17
3101508,3143906,74
3101508,3145901,39
3101508,3151107,27
3101508,3152501,10
3101508,3153509,9
3101508,3154101,4
3101508,3156452,9
3101508,3160009,96
3101508,3161908,6
3101508,3163706,25
3101508,3165602,9
3101508,3169356,30
3101508,3171303,25
3101508,3172103,15
3101607,3101904,17
3101607,3102001,127
3101607,3104106,6
3101607,3104304,190
3101607,3105608,12
3101607,3106200,199
3101607,3106705,33
3101607,3106804,3
3101607,3106903,5
3101607,3107109,32
3101607,3109204,5
3101607,3109501,13
3101607,3110509,15
3101607,3110905,19
3101607,3111200,11
3101607,3111309,21
3101607,3111606,101
3101607,3114006,8
3101607,3114402,7
3101607,3114709,3
3101607,3116506,10
3101607,3117900,4
3101607,3118601,17
3101607,3118700,11
3101607,3118908,5
3101607,3120805,7
3101607,3120870,23
3101607,3121209,5
3101607,3122306,47
3101607,3122405,52
3101607,3123601,15
3101607,3124203,11
3101607,3125101,25
3101607,3125200,111
3101607,3127701,9
3101607,3128709,51
3101607,3130408,10
3101607,3130507,10
3101607,3130655,7
3101607,3132404,32
3101607,3133303,8
3101607,3133758,16
3101607,3134301,3
3101607,3134707,23
3101607,3135100,10
3101607,3135209,10
3101607,3136959,3
3101607,3137809,5
3101607,3138203,53
3101607,3138906,4
3101607,3139003,93
3101607,3139102,3
3101607,3142601,17
3101607,3143302,30
3101607,3143401,29
3101607,3144102,20
3101607,3144508,6
3101607,3144607,11
3101607,3145109,4
3101607,3146008,29
3101607,3146107,7
3101607,3146255,7
3101607,3147204,11
3101607,3147303,5
3101607,3147907,85
3101607,3151503,12
3101607,3151701,10
3101607,3151800,194
3101607,3152105,11
3101607,3152170,5
3101607,3152501,137
3101607,3152600,3
3101607,3152907,13
3101607,3154606,10
3101607,3159209,6
3101607,3161502,11
3101607,3162005,9
3101607,3162302,11
3101607,3162500,10
3101607,3162948,16
3101607,3163706,13
3101607,3164308,3
3101607,3164704,11
3101607,3165008,4
3101607,3165206,7
3101607,3166808,6
3101607,3166907,81
3101607,3166956,11
3101607,3167400,3
3101607,3167707,3
3101607,3169307,12
3101607,3169356,9
3101607,3169406,25
3101607,3170107,16
3101607,3170206,74
3101607,3170701,151
3101631,3105608,69
3101631,3113206,40
3101631,3125002,6
3101631,3154408,15
3101706,3101003,11
3101706,3102704,8
3101706,3103405,33
3101706,3105103,9
3101706,3105202,62
3101706,3105400,32
3101706,3106200,778
3101706,3106705,311
3101706,3109907,2
3101706,3110004,29
3101706,3114204,14
3101706,3117504,5
3101706,3118007,13
3101706,3118601,227
3101706,3119401,7
3101706,3120904,8
3101706,3122306,22
3101706,3122454,98
3101706,3124104,96
3101706,3127057,2
3101706,3127701,45
3101706,3128600,8
3101706,3129806,81
3101706,3130101,47
3101706,3130200,17
3101706,3131307,24
3101706,3132206,5
3101706,3133303,6
3101706,3134004,26
3101706,3134707,68
3101706,3135076,7
3101706,3135803,138
3101706,3136504,18
3101706,3137601,9
3101706,3138302,3
3101706,3140159,5
3101706,3140555,35
3101706,3140704,7
3101706,3141405,42
3101706,3146750,26
3101706,3148707,57
3101706,3154606,327
3101706,3155108,23
3101706,3156601,27
3101706,3156700,32
3101706,3157005,11
3101706,3157104,16
3101706,3157658,3
3101706,3158102,6
3101706,3159357,11
3101706,3159902,6
3101706,3160306,4
3101706,3160603,8
3101706,3168200,10
3101706,3168606,74
3101706,3170107,10
3101706,3170206,17
3101706,3171204,28
3101805,3110806,4
3101805,3112653,9
3101805,3122504,7
3101805,3123700,20
3101805,3125804,10
3101805,3127701,160
3101805,3131307,24
3101805,3135076,3
3101805,3156700,36
3101805,3160405,58
3101805,3163300,2
3101805,3168606,28
3101805,3169505,3
3101904,3101607,42
3101904,3104304,3
3101904,3106200,16
3101904,3107604,10
3101904,3112802,3
3101904,3114402,100
3101904,3116407,3
3101904,3127339,3
3101904,3128105,7
3101904,3133758,10
3101904,3134806,6
3101904,3136207,21
3101904,3145109,5
3101904,3147907,153
3101904,3157104,4
3101904,3160801,5
3101904,3162948,177
3101904,3164308,3
3102001,3101607,179
3102001,3101904,6
3102001,3102605,10
3102001,3104304,31
3102001,3108404,6
3102001,3113909,6
3102001,3114402,7
3102001,3114709,5
3102001,3117108,76
3102001,3117900,4
3102001,3124906,4
3102001,3125200,2
3102001,3145109,38
3102001,3151800,23
3102001,3162948,13
3102001,3164704,19
3102001,3169307,11
3102001,3170701,12
3102050,3106200,28
3102050,3110103,3
3102050,3112109,36
3102050,3124203,101
3102050,3131307,9
3102050,3133204,9
3102050,3137700,17
3102050,3138674,21
3102050,3139409,61
3102050,3139508,23
3102050,3140530,13
3102050,3143906,8
3102050,3144003,8
3102050,3153509,135
3102050,3161908,6
3102050,3169901,7
3102100,3105608,217
3102100,3105905,8
3102100,3106200,87
3102100,3106705,30
3102100,3111507,12
3102100,3116308,18
3102100,3118304,9
3102100,3121506,15
